Institute Id,Institute Name,City,State,Score_22,Rank_22,TLR_22,RPC_22,GO_22,OI_22,Perception_22,Score_21,Rank_21,TLR_21,RPC_21,GO_21,OI_21,Perception_21,Score_20,Rank_20,TLR_20,RPC_20,GO_20,OI_20,Perception_20,Score_19,Rank_19,TLR_19,RPC_19,GO_19,OI_19,Perception_19,Score_18,Rank_18,TLR_18,RPC_18,GO_18,OI_18,Perception_18
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.04,1,94.62,97.66,80.42,62.85,100,90.19,1,95.47,96.43,81.92,62.44,100,89.93,1,95.42,94.64,83.9,61.31,100,89.05,1,93.55,92.39,84.36,63.99,100,88.95,1,93.83,91.44,84.91,63.88,100
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.12,2,86.95,96,83.43,68.56,96.92,88.96,2,91.76,95.82,80.97,66.39,98.63,88.08,2,90.79,96.15,80.36,64.81,94.46,85.36,2,85.8,96.18,80.32,56.19,90.85,82.18,3,80.83,89.35,81.47,59.72,88.6
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.96,3,87.53,90.82,79.18,57.36,88.7,85.16,3,89.32,92.56,79.71,53.68,92.88,85.08,3,91,93.37,77.6,49.99,92.51,84.4,3,89.12,95.3,76.47,48.17,89.61,84.82,2,89.61,96.04,76.53,44.71,93.48
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.56,4,87.95,79.98,89.71,59.47,83.01,83.22,4,86.71,83.13,89.79,55.96,87.05,82.18,4,86.22,82.08,88.44,54.21,85.78,77.57,5,79.07,81.79,82.56,46.61,81.35,75.24,5,78.51,77.15,78.99,41.46,85.89
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,78.89,5,79.21,84.61,80.91,53.09,82.63,82.03,5,80.51,88.59,83.01,58.46,88.5,80.56,5,77.32,87.11,83.21,56.62,89.31,79.41,4,73.14,88.2,84.12,57.79,84.14,77.78,4,73.73,84.26,85.65,53.99,78.51
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.7,6,75.98,78.1,90.12,63.09,61.36,78.08,6,79.28,78.13,90.74,63.36,63.59,76.29,6,77.21,76.57,89.65,61.71,60.55,74.57,6,75.05,75.9,89.84,58.65,54.61,72.57,6,72.8,72.08,88.9,56.66,56.63
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,72.98,7,75.89,72.89,84.64,56.9,57.15,73.84,7,79.25,70.32,84.63,59.83,60.58,74.9,7,83.04,70.73,83.03,59.13,62.45,70.87,7,82.55,63.6,78.45,58.86,54.49,69.25,7,86.29,61.54,76.51,50.46,45.49
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,69.17,8,76.39,58.43,79.16,64.49,64.38,66.08,9,70,54.63,78.13,61.35,69.32,64.1,9,72.11,50.04,74.71,61.49,63.68,61.62,10,68.36,46.64,72.76,62.2,63.54,60.35,11,66.49,46.44,72.02,60.96,59.69
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.03,9,80.32,59.89,72.39,54.85,59.96,68.69,8,82.6,56.9,72.54,56.58,66.7,66.44,8,82.51,52.47,71.54,55.98,60.42,63.92,8,78.91,49.18,71.71,56.21,55.38,60.87,9,80.63,44.22,71.03,55.11,36.94
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,66.04,10,72.87,56.42,77.69,63.89,53.24,64.19,10,73.15,50.17,78.62,64.54,50.18,61.3,13,68.93,46.03,78.67,55.24,55.59,55.25,21,59.48,41.31,75.46,50.4,48.85,53.16,21,60.34,38.36,71.27,51.1,41.93
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.68,11,71.38,64.41,78.11,52.33,40.97,59.19,17,54.82,60.61,76.88,43,48.82,59.23,17,53.73,62.04,76.45,40.45,51.61,59.09,14,53.4,65.71,74.79,37.83,46.2,59.82,12,58.26,68.5,77.63,29.09,33.49
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,65.53,12,62.53,73.3,69.44,59.27,49.6,63.68,12,61.41,69.7,67.01,59.84,49.73,59.32,15,56.79,64.06,63.07,58.21,46.29,56.46,18,54.65,57.34,63.57,56.69,44.81,57.02,16,54.64,55.4,65.51,59.22,49.93
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.51,13,62.62,57.25,81.72,56.06,55.89,62.1,14,67.4,51.62,79.07,55.8,49.96,62.54,11,72.34,47.77,77.77,56.07,53.49,59.8,11,68.61,45.63,77.36,53.16,47.42,56.62,19,64.43,42.55,77.62,41.66,48.44
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,63.5,14,68.7,65.38,71.17,54.34,36.23,64.07,11,69.29,65.53,73.12,54.62,35.36,62.06,12,64.02,63.12,72.11,55.07,39.78,58.18,15,63.62,59.12,70.03,38.12,35.31,59.24,13,64.7,53.04,74.73,59.99,29.73
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.36,15,73.39,59.44,71.8,57.08,24.43,58.02,20,62.21,56.58,72.53,50.72,28.08,59.29,16,64.38,57.82,74.3,47.23,30.48,57.75,16,59.99,56.05,75.71,46.34,31.6,57.05,15,61.82,52.36,78.74,45.76,24.71
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,61.68,16,76.28,56.75,70.39,52.48,24.43,62.56,13,76.22,55.89,71.57,55.76,30.29,62.88,10,79.89,53.31,72.09,57.76,27.15,59.35,13,75.66,49.17,70.18,57.3,21.29,57.95,14,81.42,40.8,69.67,56.16,17.28
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,61.4,17,64.33,64.59,57.8,48.88,62.83,58.31,18,66.29,50.06,58.6,50.87,65.95,59.89,14,64.62,54.07,61.5,51.62,68.24,63.12,9,63.17,64.13,63.24,52.66,70.13,67.04,8,64.6,72.08,68.55,52.3,71.04
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,61.4,18,76.45,56.99,69.53,54.58,19.95,60.31,15,75.45,54.62,72.56,45.67,21.98,58.7,18,68.13,54.04,74.66,45.17,25.98,59.73,12,67.76,57.3,76.32,49.68,19.77,60.63,10,70.22,58.51,73.21,53.43,20.35
IR-E-U-0025,National Institute of Technology Warangal,Warangal,Telangana,60,21,73.99,45.7,75.12,54.91,35.77,56.76,23,67.88,39.6,74.47,55.52,40.72,57.76,19,73.38,38.12,74.21,57.81,36.91,53.21,26,68.19,31.77,72.5,54.98,32.17,51.82,25,67.25,31.43,72.38,54.79,22.59
IR-E-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,59.16,22,81.06,38.78,68.75,63.67,30.87,58.09,19,81.35,34.08,69.1,62.78,33.74,55.95,25,79.11,30.54,70.31,59.24,30.75,52.37,29,76.84,29.22,64.57,60.1,16.27,52.8,22,77.84,29.53,65.29,60.61,14.73
IR-E-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.27,23,80.19,39.08,64.63,60.47,35.07,56.86,22,82.1,35.05,57.31,62.64,39.87,56.15,24,83.76,34.55,55.15,57.9,38.26,54.32,24,80.59,31.01,56.26,61.34,34.59,50.45,27,74.18,26.31,59.24,52.64,32.03
IR-E-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,57.73,25,69.95,62.18,55.67,57.33,12.19,54.87,31,68.46,57.24,52.38,56.94,9.87,53.09,32,71.22,50.11,51.01,56.94,8.05,49.03,35,69.51,41.27,48.29,56.32,5.07,48.66,34,67.99,42.64,47.12,57.87,2.6
IR-E-U-0108,Jamia Millia Islamia,New Delhi,Delhi,57.51,26,59.53,57.45,73.54,60.95,16.07,54.46,33,60.27,50,72.96,54.71,13.24,54.58,28,63.16,48.11,71.43,58,11.13,53.13,27,64.25,42.18,75.11,50.9,10.88,49.15,32,57.41,39.27,72.13,48.49,8.67
IR-E-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,57.48,27,75.94,40.02,68.72,69.54,19.95,54.77,32,75.76,34.28,70.16,65.14,12.15,52.38,34,74.73,29.41,68.18,64.26,10.7,50.39,32,71.35,26.31,66.43,60.53,17.65,,,,,,,
IR-E-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,57.18,28,59.52,56.97,71.19,54.56,25.33,56.76,23,64.89,51.54,68.52,56.05,25.35,54.45,29,65.95,47.65,65.69,54.82,17.42,54.73,23,69.51,44.96,67.28,55.65,13.66,56.14,20,69.77,45.75,73.11,56.55,12.01
IR-E-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,56.9,29,60.84,46.29,78.27,54.2,36.91,56.35,26,62.96,39.96,79.57,55.73,39.87,54.39,30,61.95,34.87,77.36,56.26,42.47,53.82,25,63.61,35.15,71.4,54.5,44.67,,,,,,,
IR-E-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,56.66,31,67.13,36.3,76.86,63.72,38.88,56.48,25,68,34.63,77.94,63.52,37.53,56.56,23,71.05,31.3,78.29,63.87,38.04,52.69,28,63.47,28.22,77.01,61.09,36.71,44.3,50,55.17,26.58,60.6,41.85,34.67
IR-E-U-0334,Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,56.62,32,66.38,48.85,75.64,53.15,16.07,54.94,30,66.19,46.05,70.66,53.53,17.84,54.76,27,67.7,45.19,69.73,53.77,15.56,51.27,31,64.81,40.49,65.09,57.66,8.92,49.55,31,63.78,35.85,64.68,56.13,11.2
